run,model,item_id,image,vqascore,custom_cv
v241_pixart-sigma,pixart-sigma,bench_v1_028,v241_27_three_students_in_a_classroom_exactly_two_seated_students_on_the_left_reading_open_books_at_two_separate_desks_exactly_one_standing_student_on_the_right_by_a_tall_window_looking_outside_friendly_expressions.png,0.9773,0.7106
v241_pixart-sigma,pixart-sigma,bench_v1_029,v241_28_a_friendly_chef_wearing_a_red_apron_holding_exactly_three_white_plates_two_plates_in_the_left_hand_and_one_plate_in_the_right_hand_a_silver_oven_on_the_right_side.png,0.9039,0.7399
v241_pixart-sigma,pixart-sigma,bench_v1_030,v241_29_a_smiling_child_in_a_yellow_raincoat_holding_exactly_one_blue_umbrella_above_their_head_walking_on_the_left_beside_exactly_one_shallow_puddle_on_the_right.png,0.9489,0.7223
v241_pixart-sigma,pixart-sigma,bench_v1_031,v241_30_a_friendly_child_s_face_showing_a_wide_smile_with_visible_teeth_big_bright_eyes_rosy_cheeks_head_slightly_tilted_centered_close_up.png,0.9523,0.6759
v241_pixart-sigma,pixart-sigma,bench_v1_032,v241_31_a_young_child_with_teary_eyes_and_visible_tears_running_down_both_cheeks_head_slightly_bowed_shoulders_slumped_hands_loosely_at_sides_single_centered_arrangement.png,0.9417,0.6942
v241_pixart-sigma,pixart-sigma,bench_v1_033,v241_32_exactly_two_children_standing_side_by_side_on_the_left_a_happy_smiling_child_raising_one_hand_on_the_right_an_angry_frowning_child_with_crossed_arms_both_wearing_simple_shirts.png,0.9348,0.7206
v241_pixart-sigma,pixart-sigma,bench_v1_034,v241_33_exactly_two_children_the_left_child_extending_a_helping_hand_the_right_child_sitting_on_the_ground_reaching_up_their_hands_meeting_at_the_center_both_with_friendly_expressions.png,0.9092,0.7056
v241_pixart-sigma,pixart-sigma,bench_v1_035,v241_34_exactly_two_students_the_observer_on_the_right_seated_at_a_desk_with_an_admiring_slightly_envious_expression_watching_a_presenting_classmate_on_the_left_standing_and_gesturing_toward_a_blank_board.png,0.9226,0.7024
v241_pixart-sigma,pixart-sigma,bench_v1_036,v241_35_exactly_three_children_in_a_horizontal_row_the_middle_child_showing_a_sad_frown_the_left_child_smiling_the_right_child_smiling_all_facing_forward.png,0.9358,0.7243
v241_pixart-sigma,pixart-sigma,bench_v1_037,v241_36_exactly_one_small_green_sprout_emerging_from_a_dark_brown_soil_layer_centered_a_large_upward_arrow_above_the_sprout_pointing_up_a_bright_yellow_sun_on_the_upper_right.png,0.8842,0.7433
v241_pixart-sigma,pixart-sigma,bench_v1_038,v241_37_exactly_four_puzzle_pieces_forming_one_square_one_red_piece_on_the_left_one_blue_piece_on_the_right_one_yellow_piece_on_the_top_one_green_piece_on_the_bottom_curved_arrows_pointing_inward_as_the_pieces_slide_together.png,0.7841,0.7758
v241_pixart-sigma,pixart-sigma,bench_v1_039,v241_38_the_water_cycle_showing_one_ocean_on_the_left_with_exactly_three_upward_vapor_arrows_above_them_two_clouds_forming_on_the_right_exactly_three_downward_blue_arrows_of_rain_falling_from_the_clouds_onto_a_small_green_land.png,0.8579,0.7349
v241_pixart-sigma,pixart-sigma,bench_v1_040,v241_39_exactly_one_large_leafy_tree_on_the_left_casting_broad_shade_with_its_canopy_over_exactly_one_small_green_sprout_on_the_right_the_sprout_standing_upright_under_the_shade_two_gentle_curved_arrows_from_tree_to_sprout_suggesting_protection.png,0.9401,0.693
