run,model,item_id,image,csd,csd_provisional
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_013,v233_12_a_traditional_korean_tile_roofed_house_centered_exactly_one_red_maple_tree_on_the_left_with_autumn_foliage_exactly_one_green_pine_tree_on_the_right_scattered_fallen_leaves_below.png,0.447,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_014,v233_13_exactly_one_green_frog_sitting_facing_forward_centered.png,0.4773,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_015,v233_14_exactly_one_yellow_petaled_sunflower_with_a_brown_center_a_green_stem_and_exactly_two_green_leaves_single_centered_arrangement.png,0.5419,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_016,v233_15_a_large_bright_full_moon_centered_with_visible_surface_craters_and_dark_maria.png,0.4431,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_017,v233_16_exactly_three_dark_gray_clouds_with_steady_rain_falling_downward_from_each_arranged_in_a_horizontal_row_near_the_top.png,0.4978,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_018,v233_17_exactly_four_brown_sparrows_perched_on_a_single_tree_branch_in_a_horizontal_row_evenly_spaced.png,0.569,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_019,v233_18_exactly_one_orange_clownfish_with_white_stripes_side_view_fins_spread_single_centered_arrangement.png,0.4933,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_020,v233_19_the_sun_centered_with_exactly_one_earth_on_the_left_and_exactly_one_moon_on_the_right_all_in_a_horizontal_row_each_body_shown_as_a_simple_sphere_with_distinct_colors_and_craters_visible_on_the_moon.png,0.5635,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_021,v233_20_exactly_five_green_lotus_leaves_floating_on_calm_water_arranged_in_a_gentle_cluster_the_rightmost_leaf_supporting_exactly_one_small_green_frog_sitting_facing_forward.png,0.5015,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_022,v233_21_exactly_two_red_tulips_and_exactly_three_yellow_tulips_growing_together_in_a_rectangular_flower_bed_green_stems_and_leaves_visible_arranged_in_one_horizontal_row_with_the_red_tulips_on_the_left_and_the_yellow_tulips_on_the_right.png,0.5491,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_023,v233_22_exactly_one_elementary_school_student_standing_in_front_of_a_zebra_crosswalk_facing_forward_a_small_backpack_on_their_shoulders.png,0.4183,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_024,v233_23_exactly_one_student_crouching_under_exactly_one_sturdy_desk_knees_tucked_and_head_covered_with_both_hands_earthquake_drill_posture_centered_single_arrangement.png,0.4576,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_025,v233_24_exactly_three_people_standing_in_a_single_file_line_at_a_bus_stop_arranged_from_left_to_right_beside_a_round_bus_stop_sign_on_the_left.png,0.4538,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_026,v233_25_exactly_one_firefighter_in_a_bright_protective_helmet_and_suit_on_the_left_spraying_a_stream_of_water_from_a_hose_toward_tall_orange_flames_on_the_right_clear_action_pose.png,0.4811,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_027,v233_26_a_korean_table_setting_showing_exactly_one_white_rice_bowl_on_the_left_exactly_one_soup_bowl_on_the_right_exactly_one_metal_spoon_and_exactly_one_pair_of_chopsticks_placed_parallel_in_a_horizontal_row_on_the_far_right.png,0.5432,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_028,v233_27_three_students_in_a_classroom_exactly_two_seated_students_on_the_left_reading_open_books_at_two_separate_desks_exactly_one_standing_student_on_the_right_by_a_tall_window_looking_outside_friendly_expressions.png,0.4015,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_029,v233_28_a_friendly_chef_wearing_a_red_apron_holding_exactly_three_white_plates_two_plates_in_the_left_hand_and_one_plate_in_the_right_hand_a_silver_oven_on_the_right_side.png,0.4986,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_030,v233_29_a_smiling_child_in_a_yellow_raincoat_holding_exactly_one_blue_umbrella_above_their_head_walking_on_the_left_beside_exactly_one_shallow_puddle_on_the_right.png,0.493,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_031,v233_30_a_friendly_child_s_face_showing_a_wide_smile_with_visible_teeth_big_bright_eyes_rosy_cheeks_head_slightly_tilted_centered_close_up.png,0.4764,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_032,v233_31_a_young_child_with_teary_eyes_and_visible_tears_running_down_both_cheeks_head_slightly_bowed_shoulders_slumped_hands_loosely_at_sides_single_centered_arrangement.png,0.4633,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_033,v233_32_exactly_two_children_standing_side_by_side_on_the_left_a_happy_smiling_child_raising_one_hand_on_the_right_an_angry_frowning_child_with_crossed_arms_both_wearing_simple_shirts.png,0.4932,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_034,v233_33_exactly_two_children_the_left_child_extending_a_helping_hand_the_right_child_sitting_on_the_ground_reaching_up_their_hands_meeting_at_the_center_both_with_friendly_expressions.png,0.4506,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_035,v233_34_exactly_two_students_the_observer_on_the_right_seated_at_a_desk_with_an_admiring_slightly_envious_expression_watching_a_presenting_classmate_on_the_left_standing_and_gesturing_toward_a_blank_board.png,0.4112,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_036,v233_35_exactly_three_children_in_a_horizontal_row_the_middle_child_showing_a_sad_frown_the_left_child_smiling_the_right_child_smiling_all_facing_forward.png,0.4978,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_037,v233_36_exactly_one_small_green_sprout_emerging_from_a_dark_brown_soil_layer_centered_a_large_upward_arrow_above_the_sprout_pointing_up_a_bright_yellow_sun_on_the_upper_right.png,0.5066,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_038,v233_37_exactly_four_puzzle_pieces_forming_one_square_one_red_piece_on_the_left_one_blue_piece_on_the_right_one_yellow_piece_on_the_top_one_green_piece_on_the_bottom_curved_arrows_pointing_inward_as_the_pieces_slide_together.png,0.3928,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_039,v233_38_the_water_cycle_showing_one_ocean_on_the_left_with_exactly_three_upward_vapor_arrows_above_them_two_clouds_forming_on_the_right_exactly_three_downward_blue_arrows_of_rain_falling_from_the_clouds_onto_a_small_green_land.png,0.5037,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_040,v233_39_exactly_one_large_leafy_tree_on_the_left_casting_broad_shade_with_its_canopy_over_exactly_one_small_green_sprout_on_the_right_the_sprout_standing_upright_under_the_shade_two_gentle_curved_arrows_from_tree_to_sprout_suggesting_protection.png,0.5741,False
