image,prompt_id,item_id,type,verdict_a,verdict_b
v246_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s1,attribute,yes,no
v246_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s5,text,yes,no
v246_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s3,text,yes,no
v246_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s4,text,no,yes
v246_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s1,count,no,yes
v246_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s3,attribute,no,yes
v246_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s6,attribute,no,yes
v246_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s3,text,unclear,yes
v246_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s4,text,unclear,yes
v246_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s3,count,no,yes
v246_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s6,attribute,no,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s6,spatial,yes,no
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s5,spatial,yes,no
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s6,spatial,yes,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s3,count,yes,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s9,text,no,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s5,text,no,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s9,style,no,yes
v247_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s2,attribute,yes,no
v247_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s2,attribute,yes,no
v247_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s2,attribute,no,yes
v247_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,no,yes
v247_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s2,spatial,no,yes
v247_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s3,attribute,no,yes
v247_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s6,attribute,no,yes
v247_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s8,spatial,no,yes
v247_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s4,text,yes,unclear
v249_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s3,count,yes,no
v249_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s3,count,yes,no
v249_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s5,spatial,no,yes
v249_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s3,count,yes,no
v249_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s9,text,no,yes
v249_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s4,attribute,no,yes
v249_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s8,style,no,yes
v249_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s9,style,no,yes
v249_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s2,attribute,yes,no
v249_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s7,style,no,yes
v249_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s9,text,no,yes
v249_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s2,attribute,no,yes
v249_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s3,attribute,no,yes
v249_15_single_character_cutout_claude.png,single_character_cutout_claude,s4,attribute,no,yes
v249_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s10,text,no,yes
v249_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s8,attribute,yes,no
v249_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s1,attribute,yes,no
v249_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s4,text,yes,no
v249_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s6,style,no,yes
v249_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s2,spatial,yes,no
v249_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s3,attribute,no,yes
v249_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s5,attribute,no,yes
v249_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s4,text,yes,no
