image,prompt_id,item_id,type,verdict_a,verdict_b
v247_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s6,text,no,yes
v247_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s2,spatial,no,yes
v247_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s6,attribute,no,yes
v247_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s1,count,no,yes
v249_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s2,spatial,no,yes
v249_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s3,count,yes,no
v249_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s3,count,yes,no
v249_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s2,spatial,no,yes
v249_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s3,count,yes,no
v249_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s6,attribute,yes,no
v249_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s1,count,no,yes
v249_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s8,style,no,yes
v249_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s8,style,no,yes
v249_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s9,text,no,yes
v249_16_single_character_cutout_chatgpt.png,single_character_cutout_chatgpt,s3,spatial,no,yes
v249_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s2,attribute,no,yes
v249_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s4,text,no,yes
v249_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s6,text,no,yes
v249_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s3,attribute,no,yes
v249_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s4,attribute,no,yes
v249_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s1,count,no,yes
v249_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s4,text,unclear,no
v249_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s2,text,no,yes
